smell,metric,evidence_count,citations,inference_type
Duplicated Code,Lines of Code,2,"Fowler1999; Kaur2016","explicit"
Long Method,Lines of Code,3,"Bigonha2019; Kaur2016; Arcelli Fontana2015","explicit"
Long Method,Cyclomatic Complexity,3,"Bigonha2019; Kaur2016; Arcelli Fontana2015","explicit"
Long Method,Number of Parameters,1,"Kaur2016","inferred"
Long Method,Fan-Out,1,"Arcelli Fontana2015","inferred"
Large Class,Lines of Code,2,"Bigonha2019; Kaur2016","explicit"
Large Class,Depth of Inheritance Tree,1,"Kaur2016","explicit"
Large Class,Coupling Between Objects,1,"Kaur2016","explicit"
Large Class,Lack of Cohesion,2,"Bigonha2019; Kaur2016","explicit"
Large Class,WMC,2,"Bigonha2019; Marinescu2004","explicit"
Large Class,NOM (Number of Methods,2,"Bigonha2019; Kaur2016","explicit"
Large Class,NOF (Number of Fields,1,"Bigonha2019","explicit"
Long Parameter List,Lines of Code,1,"Fowler1999","inferred"
Long Parameter List,Number of Parameters,1,"Kaur2016","explicit"
Divergent Change,Change Frequency,1,"Counsell2010","inferred"
Divergent Change,Service Interface Data Cohesion,1,"Bogner2017","inferred"
Shotgun Surgery,Change Frequency,1,"Counsell2010","inferred"
Shotgun Surgery,Afferent Coupling,1,"Counsell2010","inferred"
Primitive Obsession,Number of Parameters,1,"Kaur2016","inferred"
Primitive Obsession,Lack of Cohesion,1,"Kaur2016","inferred"
Switch Statements,Fan-Out,1,"Arcelli Fontana2015","inferred"
Switch Statements,Cyclomatic Complexity,1,"Kaur2016","explicit"
Parallel Inheritance,Lines of Code,1,"Fowler1999","inferred"
Parallel Inheritance,Class Coupling,1,"Kaur2016","inferred"
Parallel Inheritance,Coupling Between Objects,1,"Kaur2016","inferred"
Lazy Class,Lines of Code,1,"Kaur2016","explicit"
Lazy Class,Afferent Coupling,1,"Kaur2016","inferred"
Lazy Class,Depth of Inheritance Tree,1,"Kaur2016","inferred"
Lazy Class,Coupling Between Objects,1,"Kaur2016","inferred"
Lazy Class,NOM (Number of Methods,1,"Kaur2016","explicit"
Lazy Class,WMC,1,"Kaur2016","explicit"
Lazy Class,Specialization Index (SIX),1,"Bogner2017","inferred"
Lazy Class,Number of Fields per Method (NFM),1,"Gupta2020","inferred"
Lazy Class,Number of Computations of Field (NCF),1,"Gupta2020","inferred"
Speculative Generality,Lines of Code,1,"Fowler1999","explicit"
